argouml,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.0645,0.0,0.0,0.3,0.3,0.0,0.4,0.4,0.5
0.02,0.2581,0.0,0.2069,0.4138,0.4138,0.0,0.4138,0.5517,0.4828
0.03,0.2927,0.0,0.0968,0.3243,0.3243,0.0,0.3243,0.4865,0.4865
0.04,0.1905,0.0,0.2258,0.2609,0.2609,0.0,0.3478,0.3913,0.3913
0.05,0.1905,0.0,0.2258,0.2963,0.2963,0.1111,0.2963,0.3333,0.3333
0.06,0.1905,0.0,0.1239,0.2857,0.2857,0.0952,0.2857,0.3175,0.3492
0.07,0.1091,0.0,0.1239,0.2817,0.2817,0.1127,0.2535,0.2817,0.3099
0.08,0.1091,0.0,0.1239,0.275,0.275,0.125,0.225,0.275,0.275
0.09,0.1455,0.0,0.1416,0.2727,0.2727,0.1364,0.2045,0.25,0.25
0.1,0.1455,0.0,0.1416,0.2474,0.2474,0.1443,0.1856,0.2268,0.2474
0.11,0.1455,0.0,0.1416,0.2286,0.2286,0.1524,0.1714,0.2095,0.2286
0.12,0.0874,0.0,0.0879,0.2105,0.2105,0.1404,0.1754,0.193,0.2105
0.13,0.0874,0.0,0.0879,0.1967,0.1967,0.1311,0.1639,0.1803,0.1967
0.14,0.0874,0.0,0.0879,0.1846,0.1846,0.1203,0.1692,0.1692,0.1846
0.15,0.0874,0.0288,0.0879,0.1727,0.1727,0.1151,0.1727,0.1727,0.1727
