argouml,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1818,0.0,0.0,0.4,0.4,0.0,0.5,0.5,0.6
0.02,0.2941,0.0,0.2703,0.4138,0.4138,0.0,0.4138,0.5517,0.6207
0.03,0.2041,0.0,0.2703,0.3784,0.3784,0.2162,0.3784,0.4865,0.5405
0.04,0.2857,0.0,0.137,0.3043,0.3043,0.2609,0.3913,0.4783,0.4783
0.05,0.1918,0.0,0.137,0.2963,0.2963,0.2593,0.3704,0.4074,0.4074
0.06,0.2192,0.0,0.2466,0.2857,0.2857,0.254,0.3175,0.3492,0.381
0.07,0.2192,0.0,0.2466,0.2817,0.2817,0.2535,0.2817,0.338,0.338
0.08,0.1221,0.0,0.1364,0.275,0.275,0.225,0.25,0.3,0.3
0.09,0.1221,0.0,0.1364,0.25,0.25,0.2045,0.25,0.2727,0.2727
0.1,0.1221,0.0,0.1364,0.2474,0.2474,0.1856,0.2268,0.2474,0.2474
0.11,0.1527,0.0,0.1515,0.2286,0.2286,0.1667,0.2095,0.2286,0.2286
0.12,0.1527,0.0,0.1515,0.2105,0.2105,0.1754,0.193,0.2105,0.2105
0.13,0.1527,0.0,0.1515,0.1967,0.1967,0.1639,0.1803,0.1967,0.1967
0.14,0.1527,0.0,0.1515,0.1846,0.1846,0.1538,0.1692,0.1846,0.1846
0.15,0.102,0.0,0.099,0.1727,0.1727,0.1429,0.1727,0.1727,0.1727
