wro4j,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1111,0.0,0.0,0.3333,0.3333,0.1111,0.4444,0.3333,0.3333
0.02,0.3333,0.0,0.0,0.25,0.25,0.25,0.5,0.3333,0.5
0.03,0.3636,0.0,0.3889,0.3448,0.3448,0.4828,0.6207,0.4828,0.4828
0.04,0.3243,0.0,0.3889,0.3429,0.3429,0.4571,0.5714,0.6286,0.5714
0.05,0.3404,0.0,0.2545,0.3415,0.3415,0.439,0.4878,0.5366,0.5854
0.06,0.383,0.0,0.3273,0.2979,0.2979,0.383,0.4681,0.5106,0.5106
0.07,0.3214,0.0,0.3273,0.2692,0.2692,0.3462,0.4615,0.4615,0.4615
0.08,0.2466,0.0,0.2069,0.2414,0.2414,0.3448,0.4138,0.4138,0.4138
0.09,0.2466,0.0,0.2069,0.2188,0.2188,0.3125,0.375,0.375,0.375
0.1,0.3014,0.0,0.2069,0.2571,0.2571,0.3143,0.3429,0.3429,0.3429
0.11,0.2178,0.0,0.2529,0.2667,0.2667,0.2933,0.32,0.32,0.32
0.12,0.2178,0.0,0.2529,0.2469,0.2469,0.2716,0.2963,0.2963,0.2963
0.13,0.2178,0.0,0.2529,0.2529,0.2529,0.2529,0.2759,0.2759,0.2759
0.14,0.2178,0.0,0.1897,0.2366,0.2366,0.2366,0.2581,0.2581,0.2581
0.15,0.2178,0.0,0.1897,0.2245,0.2245,0.2245,0.2449,0.2449,0.2449
