argouml,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.0526,0.0,0.0,0.375,0.375,0.0,0.5,0.5,0.625
0.02,0.2105,0.0,0.1765,0.3529,0.3529,0.0,0.3529,0.4706,0.4118
0.03,0.2069,0.0,0.06,0.24,0.24,0.0,0.24,0.36,0.36
0.04,0.1176,0.0,0.14,0.1765,0.1765,0.0,0.2353,0.2647,0.2647
0.05,0.1176,0.0,0.14,0.1905,0.1905,0.0714,0.1905,0.2143,0.2143
0.06,0.1176,0.0,0.0693,0.1765,0.1765,0.0588,0.1765,0.1961,0.2157
0.07,0.0612,0.0,0.0693,0.1695,0.1695,0.0678,0.1525,0.1695,0.1864
0.08,0.0612,0.0,0.0693,0.1618,0.1618,0.0735,0.1324,0.1618,0.1618
0.09,0.0816,0.0,0.0792,0.1579,0.1579,0.0789,0.1184,0.1447,0.1447
0.1,0.0816,0.0,0.0792,0.1412,0.1412,0.0824,0.1059,0.1294,0.1412
0.11,0.0816,0.0,0.0792,0.129,0.129,0.086,0.0968,0.1183,0.129
0.12,0.0468,0.0,0.0471,0.1176,0.1176,0.0784,0.098,0.1078,0.1176
0.13,0.0468,0.0,0.0471,0.1091,0.1091,0.0727,0.0909,0.1,0.1091
0.14,0.0468,0.0,0.0471,0.1017,0.1017,0.0661,0.0932,0.0932,0.1017
0.15,0.0468,0.0157,0.0471,0.0945,0.0945,0.063,0.0945,0.0945,0.0945
