jmeter_core,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1667,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.3333
0.02,0.1667,0.0,0.1667,0.2,0.2,0.2,0.2,0.2,0.2
0.03,0.0625,0.0,0.0385,0.375,0.375,0.25,0.125,0.25,0.25
0.04,0.0625,0.0,0.0385,0.3,0.3,0.3,0.2,0.3,0.3
0.05,0.25,0.0,0.0385,0.2308,0.2308,0.2308,0.1538,0.2308,0.2308
0.06,0.25,0.0,0.0385,0.1875,0.1875,0.1875,0.125,0.25,0.25
0.07,0.1739,0.0,0.2308,0.1667,0.1667,0.1667,0.1111,0.2222,0.2778
0.08,0.2174,0.0,0.2308,0.2381,0.2381,0.1905,0.1429,0.2381,0.2381
0.09,0.2174,0.0,0.2308,0.2174,0.2174,0.1739,0.1304,0.2174,0.2609
0.1,0.1613,0.0,0.2308,0.2308,0.2308,0.1923,0.1538,0.1923,0.2308
0.11,0.2903,0.0,0.1333,0.2414,0.2414,0.2069,0.1379,0.2069,0.2069
0.12,0.2903,0.0,0.1333,0.2258,0.2258,0.1935,0.129,0.1935,0.2258
0.13,0.2,0.0294,0.1333,0.2059,0.2059,0.1765,0.1176,0.1765,0.2353
0.14,0.2,0.0278,0.2222,0.1944,0.1944,0.1667,0.1111,0.1667,0.2222
0.15,0.2222,0.0256,0.2222,0.1795,0.1795,0.1538,0.1282,0.1538,0.2051
