wro4j,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.0,0.0,0.0,0.5,0.5,0.1667,0.1667,0.3333,0.3333
0.02,0.1765,0.0,0.3333,0.25,0.25,0.25,0.3333,0.25,0.3333
0.03,0.3529,0.0,0.3333,0.2941,0.2941,0.2353,0.3529,0.2353,0.2941
0.04,0.3478,0.0,0.1842,0.2174,0.2174,0.2174,0.2609,0.3478,0.4783
0.05,0.2667,0.0,0.1842,0.2069,0.2069,0.2414,0.2759,0.4138,0.4138
0.06,0.2308,0.0,0.2105,0.2,0.2,0.2286,0.2857,0.3429,0.3429
0.07,0.1731,0.0,0.125,0.175,0.175,0.2,0.275,0.3,0.3
0.08,0.2115,0.0,0.125,0.1522,0.1522,0.1957,0.2609,0.2609,0.2609
0.09,0.2115,0.0,0.1719,0.1538,0.1538,0.1923,0.2308,0.2308,0.2308
0.1,0.1392,0.0,0.1719,0.1379,0.1379,0.1724,0.2069,0.2069,0.2069
0.11,0.1392,0.0,0.1719,0.1429,0.1429,0.1587,0.1905,0.1905,0.1905
0.12,0.1392,0.0,0.1236,0.1304,0.1304,0.1449,0.1739,0.1739,0.1739
0.13,0.1392,0.0,0.1236,0.12,0.12,0.1333,0.16,0.16,0.16
0.14,0.1158,0.0,0.1236,0.1111,0.1111,0.1235,0.1481,0.1481,0.1481
0.15,0.1158,0.0,0.1236,0.1047,0.1047,0.1163,0.1395,0.1395,0.1395
