argouml,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.2,0.0,0.0,0.5,0.5,0.0,0.625,0.625,0.75
0.02,0.2273,0.0,0.2,0.3529,0.3529,0.0,0.3529,0.4706,0.5294
0.03,0.1351,0.0,0.2,0.28,0.28,0.16,0.28,0.36,0.4
0.04,0.1892,0.0,0.082,0.2059,0.2059,0.1765,0.2647,0.3235,0.3235
0.05,0.1148,0.0,0.082,0.1905,0.1905,0.1667,0.2381,0.2619,0.2619
0.06,0.1311,0.0,0.1475,0.1765,0.1765,0.1569,0.1961,0.2157,0.2353
0.07,0.1311,0.0,0.1475,0.1695,0.1695,0.1525,0.1695,0.2034,0.2034
0.08,0.0672,0.0,0.075,0.1618,0.1618,0.1324,0.1471,0.1765,0.1765
0.09,0.0672,0.0,0.075,0.1447,0.1447,0.1184,0.1447,0.1579,0.1579
0.1,0.0672,0.0,0.075,0.1412,0.1412,0.1059,0.1294,0.1412,0.1412
0.11,0.084,0.0,0.0833,0.129,0.129,0.0938,0.1183,0.129,0.129
0.12,0.084,0.0,0.0833,0.1176,0.1176,0.098,0.1078,0.1176,0.1176
0.13,0.084,0.0,0.0833,0.1091,0.1091,0.0909,0.1,0.1091,0.1091
0.14,0.084,0.0,0.0833,0.1017,0.1017,0.0847,0.0932,0.1017,0.1017
0.15,0.0543,0.0,0.0526,0.0945,0.0945,0.0781,0.0945,0.0945,0.0945
