jhotdraw,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.25,0.0,0.125,0.6,0.6,0.8,0.4,0.4,0.4
0.02,0.3077,0.0,0.0278,0.4545,0.4545,0.5455,0.3636,0.1818,0.2727
0.03,0.3125,0.0,0.0278,0.375,0.375,0.4375,0.3125,0.25,0.375
0.04,0.1562,0.0,0.0278,0.2727,0.2727,0.3636,0.3182,0.2727,0.2727
0.05,0.1875,0.0,0.1667,0.2222,0.2222,0.2963,0.2593,0.2593,0.2593
0.06,0.1429,0.0,0.1667,0.1818,0.1818,0.2424,0.2121,0.2121,0.2424
0.07,0.1905,0.0,0.1176,0.1579,0.1579,0.2105,0.1842,0.1842,0.2368
0.08,0.1569,0.0,0.1569,0.1591,0.1591,0.1818,0.1591,0.1818,0.2045
0.09,0.1765,0.0,0.1569,0.1429,0.1429,0.1837,0.1429,0.1633,0.1837
0.1,0.1525,0.0,0.1194,0.1296,0.1296,0.1667,0.1481,0.1481,0.1667
0.11,0.1184,0.0,0.1343,0.1167,0.1167,0.15,0.1333,0.15,0.15
0.12,0.1184,0.0,0.1343,0.1385,0.1385,0.1385,0.1385,0.1385,0.1385
0.13,0.1184,0.0,0.1111,0.1268,0.1268,0.1268,0.1268,0.1268,0.1268
0.14,0.1184,0.0,0.1111,0.1184,0.1184,0.1184,0.1184,0.1184,0.1184
0.15,0.1098,0.0,0.0849,0.1098,0.1098,0.1098,0.1098,0.1098,0.1098
