wro4j,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1667,0.0,0.0,0.5,0.5,0.3333,0.3333,0.5,0.3333
0.02,0.3333,0.0,0.0,0.3333,0.3333,0.25,0.4167,0.4167,0.4167
0.03,0.2857,0.0,0.2917,0.2353,0.2353,0.2941,0.4118,0.3529,0.4706
0.04,0.24,0.0,0.2917,0.2609,0.2609,0.3043,0.4348,0.4348,0.3913
0.05,0.2286,0.0,0.1628,0.2414,0.2414,0.3103,0.3793,0.3793,0.4138
0.06,0.2571,0.0,0.2093,0.2,0.2,0.2571,0.3429,0.3429,0.3429
0.07,0.2045,0.0,0.2093,0.175,0.175,0.225,0.3,0.3,0.3
0.08,0.1475,0.0,0.12,0.1522,0.1522,0.2174,0.2609,0.2609,0.2609
0.09,0.1475,0.0,0.12,0.1538,0.1538,0.1923,0.2308,0.2308,0.2308
0.1,0.1803,0.0,0.12,0.1552,0.1552,0.1724,0.2069,0.2069,0.2069
0.11,0.1236,0.0,0.1467,0.1587,0.1587,0.1587,0.1905,0.1905,0.1905
0.12,0.1236,0.0,0.1467,0.1449,0.1449,0.1594,0.1739,0.1739,0.1739
0.13,0.1236,0.0,0.1467,0.1333,0.1333,0.1467,0.16,0.16,0.16
0.14,0.1236,0.0,0.1058,0.1235,0.1235,0.1358,0.1481,0.1481,0.1481
0.15,0.1236,0.0,0.1058,0.1163,0.1163,0.1279,0.1395,0.1395,0.1395
