wro4j,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,Pride-iFit
Top-Ranked%=0.01,0.0,0.0,0.0,0.25,0.25,0.0833,0.0833,0.1667,0.1667
Top-Ranked%=0.02,0.25,0.0,0.5833,0.25,0.25,0.25,0.3333,0.25,0.3333
Top-Ranked%=0.03,0.5,0.0,0.5833,0.4167,0.4167,0.3333,0.5,0.3333,0.4167
Top-Ranked%=0.04,0.6667,0.0,0.5833,0.4167,0.4167,0.4167,0.5,0.6667,0.9167
Top-Ranked%=0.05,0.6667,0.0,0.5833,0.5,0.5,0.5833,0.6667,1.0,1.0
Top-Ranked%=0.06,0.75,0.0,0.6667,0.5833,0.5833,0.6667,0.8333,1.0,1.0
Top-Ranked%=0.07,0.75,0.0,0.6667,0.5833,0.5833,0.6667,0.9167,1.0,1.0
Top-Ranked%=0.08,0.9167,0.0,0.6667,0.5833,0.5833,0.75,1.0,1.0,1.0
Top-Ranked%=0.09,0.9167,0.0,0.9167,0.6667,0.6667,0.8333,1.0,1.0,1.0
Top-Ranked%=0.1,0.9167,0.0,0.9167,0.6667,0.6667,0.8333,1.0,1.0,1.0
Top-Ranked%=0.11,0.9167,0.0,0.9167,0.75,0.75,0.8333,1.0,1.0,1.0
Top-Ranked%=0.12,0.9167,0.0,0.9167,0.75,0.75,0.8333,1.0,1.0,1.0
Top-Ranked%=0.13,0.9167,0.0,0.9167,0.75,0.75,0.8333,1.0,1.0,1.0
Top-Ranked%=0.14,0.9167,0.0,0.9167,0.75,0.75,0.8333,1.0,1.0,1.0
Top-Ranked%=0.15,0.9167,0.0,0.9167,0.75,0.75,0.8333,1.0,1.0,1.0
